model,ver_name,brand
A1387,#CDMA #CDMA #中国电信,apple
A1428,#GSM #GSM,apple
A1429,#GSM #GSM #中国联通,apple
A1431,#GSM #GSM #中国联通,apple
A1442,#CDMA #CDMA #中国电信,apple
A1453,#CDMA #CDMA,apple
A1456,#CDMA #CDMA,apple
A1457,#GSM #GSM,apple
A1507,#GSM #GSM,apple
A1516,"#LTE, 中国移动 #China Mobile #中国移动",apple
A1518,"#LTE, 中国移动 #China Mobile #中国移动",apple
A1522,#美国 #,apple
A1524,# # #,apple
A1526,"#GSM, 中国联通 #GSM #中国联通",apple
A1528,"#GSM, 中国联通 #GSM #中国联通",apple
A1529,#LTE #GSM #LTE,apple
A1530,#LTE #GSM #LTE,apple
A1532,"#CDMA, 中国电信 #CDMA #中国电信",apple
A1533,"#CDMA, 中国电信 #CDMA #中国电信",apple
A1549,#美国 #,apple
A1586,# # #,apple
A1589,#中国移动 #China Mobile #中国移动,apple
A1593,#中国移动 #China Mobile #中国移动,apple
A1633,# #,apple
A1634,# #,apple
A1660,# # #,apple
A1661,# # #,apple
A1662,#美国 #,apple
A1687,# #,apple
A1688,# #,apple
A1690,#中国移动 #China Mobile #中国移动,apple
A1691,#中国移动 #China Mobile #中国移动,apple
A1699,#中国大陆 #China mainland #,apple
A1700,#中国大陆 #China mainland #,apple
A1723,# # #,apple
A1724,#中国移动 #China Mobile #中国移动,apple
A1778,#GSM #GSM,apple
A1779,#日本 #Japan,apple
A1780,#中国移动 #China Mobile #中国移动,apple
A1784,#GSM #GSM,apple
A1785,#日本 #Japan,apple
A1786,#中国移动 #China Mobile #中国移动,apple
A1863,# # #,apple
A1864,# # #,apple
A1865,# # #,apple
A1897,#GSM #GSM,apple
A1898,#日本 #Japan,apple
A1899,#中国移动 #China Mobile #中国移动,apple
A1901,#GSM #GSM,apple
A1902,#日本 #Japan,apple
A1903,#中国移动 #China Mobile #中国移动,apple
A1905,#GSM #GSM,apple
A1906,#日本 #Japan,apple
A1907,#中国移动 #China Mobile #中国移动,apple
A1920,#北美，港澳 #North America,apple
A1921,#北美 #North America,apple
A1984,#北美 #North America,apple
A201OP,#SoftBank,oppo
